,text,Date,is_retweet,randNumCol,ID
0,TO ALL AMERICANS-#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy,20170101,FALSE,1608,6
6,Well the New Year begins. We will together MAKE AMERICA GREAT AGAIN!,20170201,FALSE,111,7
13,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,20170301,FALSE,2571,10
23,"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday perhaps more time needed to build a case. Very strange!",20170401,FALSE,6774,10
33,The Democrats lead by head clown Chuck Schumer know how bad ObamaCare is and what a mess they are in. Instead of working to fix it they..,20170501,FALSE,5985,6
39,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",20170601,FALSE,5177,12
51,Happy Birthday @EricTrump!https://t.co/bJaEY7qFSn,20170701,FALSE,8004,8
59,I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain a longtime U.S. ally is very special!,20170801,FALSE,4073,6
65,Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,20170901,FALSE,6276,8
73,Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! #LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv,20171001,FALSE,850,4
77,FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!,20171101,FALSE,1121,7
84,We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,20171201,FALSE,5800,6
90,All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts not mine!,20171301,FALSE,3572,8
98,Congressman John Lewis should spend more time on fixing and helping his district which is in horrible shape and falling apart (not to......,20171401,FALSE,4181,3
101,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,20171501,FALSE,3129,8
109,".@FoxNews ""Outgoing CIA Chief John Brennan blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really couldn't do...",20171601,FALSE,3167,3
112,@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency. Very dishonest media!,20171701,FALSE,4548,13
125,Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,20171801,FALSE,8841,8
133,Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,20171901,FALSE,4603,8
